Code,Camp,District,Latitude,Longitude,Shelter Type,Status,tents,Number_of_Individuals,Number of Latrines,Number of 1000 Litre Tanks,Men,Women,Children,Type,Picture
51125-01-002,Abu,Zahle,33.85,35.9382,IS- Informal Settlement,Active,57,57,7,9,38,44,80,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic1.jpg'>
51125-01-003,Ahlam,Zahle,33.8437,35.9269,IS- Informal Settlement,Active,27,27,4,4,8,16,26,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic2.jpg'>
51125-01-095,Amina,Zahle,33.8236,35.94,IS- Informal Settlement,Less than 4,12,12,1,1,6,37,86,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic3.jpg'>
51125-01-096,Chtaura,Zahle,33.8275,35.934,IS- Informal Settlement,Active,25,25,2,2,11,37,81,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic4.jpg'>
51125-01-124,Fatihiya,Zahle,33.8391,35.9248,IS- Informal Settlement,Active,85,85,7,7,13,18,29,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic5.jpg'>
51125-01-125,Nahla New,Zahle,33.8485,35.9448,IS- Informal Settlement,Active,18,18,4,4,11,82,88,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic6.jpg'>
51125-01-152,New Arrivals,Zahle,33.84696,35.9321,IS- Informal Settlement,Less than 4,6,6,1,1,11,8,5,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic7.jpg'>
51125-01-153,Rahme,Zahle,33.8068,35.93707,IS- Informal Settlement,Less than 4,60,150,1,1,12,87,242,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic8.jpg'>
51125-01-154,Um Halal Rel,Zahle,33.81337,35.94278,IS- Informal Settlement,Less than 4,25,25,1,1,6,21,23,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic9.jpg'>
51389-01-021,Um Halal Son,Zahle,33.77459,35.98785,IS- Informal Settlement,Less than 4,30,30,1,2,43,105,209,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic10.jpg'>
51125-01-160,Widows,Zahle,33.84924,35.93335,IS- Informal Settlement,Less than 4,15,15,2,1,2,18,27,Clinic,<img src='http://beirutmap.pancakeapps.com/pics/pic11.jpg'>
